"text","label","notes"
"Mexico's defensive record in Group A is immaculate — 2 wins, 0 goals conceded across both matches. Their 4-4-2 mid-block has been tactically disciplined cutting off central lanes and forcing opponents wide.","analysis",""
"Korea Republic's loss to Mexico reveals a structural weakness: their press is high but their defensive line doesn't recover quickly enough on transitions leaving gaps between midfield and defense.","analysis",""
"Canada's goal difference of +6 after two group stage matches is the best in Group B. Their pressing triggers are well-defined and they're winning the ball back in dangerous areas consistently.","analysis",""
"Switzerland's ability to manage both a 4-3-3 and a 5-3-2 depending on the opponent shows tactical flexibility that few Group B sides can match. Their draw against Canada was a controlled performance.","analysis",""
"Brazil's underlying numbers in Group C are strong — 4 goals from an xG that suggests genuine chance quality rather than luck. Their wide forwards are creating overloads that Morocco and Scotland struggled to handle.","analysis",""
"Morocco's defensive solidity in Group C is built on their compact 4-4-2 block. They've conceded only 1 goal in 2 matches and their transition speed from defense to attack is among the best in the tournament.","analysis",""
"USA's 6 goals in 2 matches in Group D reflect more than just finishing — their pressing structure is forcing opponents into turnovers in dangerous areas with Australia and Paraguay both struggling to play out from the back.","analysis",""
"Germany's goal difference of +7 after two Group E matches is extraordinary. Their high press has been relentless — opponents are averaging only 3 completed passes before losing the ball in their own half against Germany.","analysis",""
"Netherlands' attacking output in Group F — 7 goals in 2 matches — is built on width. Their fullbacks are consistently overlapping and creating 2v1 situations that Sweden and Japan have struggled to defend.","analysis",""
"Japan's 6 goals in Group F disguise a tactical sophistication — they're not playing direct football but using positional rotations to create space centrally before switching to wide areas for the final ball.","analysis",""
"Spain's clean sheet record in Group H — 0 goals conceded in 2 matches — reflects their possession-based defensive approach. By controlling the ball they limit opponents' opportunities rather than relying purely on defensive shape.","analysis",""
"France's 6 goals in Group I from only 2 matches suggests they're creating high-quality chances rather than relying on volume. Their structured build-up through midfield is creating clear openings consistently.","analysis",""
"Argentina's defensive record in Group J — 2 wins and 0 goals conceded — is built on a high defensive line backed by aggressive pressing. Austria and Algeria both struggled to get the ball behind Argentina's backline.","analysis",""
